1|Who is the director of The GodFather ?|Francis Ford Coppola|Francis Ford Coppola|Al Pacino|Marlon Brando
1|What is Steve Rogers' superhero name?|Captain America|Iron Man|The Hulk|Captain America
1|What color is the Hulk?|Green|Black|Lime|Green
1|What Movie is the Giraffe Melman from?|Madagascar|Madagascar|Cars|Finding
1|Who is the actor that plays Jack Sparrow?|Johny Depp|WIll Turner|Johny Depp|Steve Martin
1|What is the name of Tony Starks assistant in Iron Man?|Pepper Pots|Salt tops|Pepper Pots|Penny Pepper
1|What planet is superman from?|Krypton|Mars|Earth|Krypton
1|In which film does Jodie Foster play Agent Clarice Starling?|The Silence Of The Lambs|Iron Man|The Silence Of The Lambs|Star Wars
1|Which one is different from the others?|Silent Hill|Scary Movie 3|Silent Hill|Bruce Almighty
1|Where is the setting of The Last Samurai?|Japan|Malaysia|Japan|China
2|" What is supposed to be place of deaths of all those who died in ""Final Destination 3""?"|The rollercoaster|The Airplane|The Road|The rollercoaster
2|In which film does Johnny Depp act as a simpleton along with Ayden Quinn?|Benny and Joon|Pirates of the Caribbean|Benny and Joon|Fight Club
2|Which film is this quote from 'your reputation proceeds you' (Romanian accent)?|Van Helsing|Kill Bill|Grinch|Van Helsing
2|Who is the main character's name(actor-wise) in Bruce Almighty?|Jim Carrey|Alan Rickman|Jim Carrey|Hugh Grant|
2|Who states that they are allergic to bull****, and which film is it?|I robot, Will Smith|I robot, Will Smith|Roadkill, Paul Walker|X-men, Hugh Jackman
2|What is the name of the actress who plays Elizabeth Swann in Pirates of the Caribbean ?|Keira Knightley|Rachel Stevens|Keira Knightley|Minnie Knightley
2|In Lord of the rings  who plays Perigrin Took?|Dominic Monaghan|Elijah Wood|Bobby Brown|Dominic Monaghan
2|In the movie The Two Towers, what does Legolas say to Gimli?|Shall I describe it to you, or should I get you a box?|Shall I describe it to you, or should I get you a box?|Will you die tonight for love?|You look terrible!
2|In the movie Queen of the Damned, what does Lestat say to Jesse?|You're beautiful to me because you are human|You bring out the devil in me|I don't bite, hard...|You're beautiful to me because you are human
2|" In the movie ""Pirates Of the Caribbean: The Curse of the Black Pearl"" who plays Will Turner?"|Orlando Bloom|Geoffrey Rush|Jack Davenport|Orlando Bloom
3|" Fill in the blank... ""Voila! In view, a humble vaudevillian veteran, cast vicariously as both____________..."""|victim and villain|v and vendetta|victim and villain|villain and victim
3|What was the name of Captain Barbossa's monkey in Pirate of the Caribbean, Curse of the Black Pearl?|Jack|monkey|John|Jack|
3|" Fill in the blank:""Even the smallest person____________...."""|can change the course of the future|can save the world from evil|can change the course of the future|can find a way to change the world
3|Which Lord of the Rings character broke their toe while filming?|Aragorn (Viggo)|Legolas (Orlando)|Aragorn (Viggo)|Gimli (John Rhys-Davis)
3|" In the 2005 version of ""King Kong"", one of the characters was wearing a piece of clothing belonging to one of the 1933 King Kong characters. Who was wearing it and what was it?"|Naomi Watts, Fay Wray's hat|Jack Black, Robert Armstrong's hat|Adrien Brody, Bruce Cabot's belt|Naomi Watts, Fay Wray's hat
3|How many characters did Mike Myers play in Austin Powers?|3|1|2|3
3|In Major Payne, when Major Payne buries the green boys in mud, what does he call them?|my little patch of Brussel sprouts|" ""my little patch of Brussel sprouts"""|" ""my little patch of carrots"" "|my little boys
3|In Indiana Jones and the Curse of the Crystal Skull, what does Indiana Jones hide in to protect him from a bomb?|A refrigerator|A fireplace|A refrigerator|A cabinet
3|Who plays the character of Rose in The Titanic?|Kate Winslet|Cate Blanchett|Winona Ryder|Kate Winslet
3|Who does the voice of Mumble in Happy Feet?|Elijah Wood|Orlando Bloom|Robin Williams|Elijah Wood
